Script Name,Script Location Path,Input File(s),Output File(s),Comment
verify_alarm_data.ipynb,mimic_alarm_data_generation/verify_alarm_data.ipynb,"01) alarm_violations.csv
02) alarm_data.csv
03) alarm_data_with_chunks_65.csv
04) unique_icustays_in_chartevents_subset.parquet
05) chartevents_clean.parquet",,Only internal verification
01_prescriptions_analysis.ipynb,mimic_medication_analysis/prescriptions_analysis.ipynb,"01) PRESCRIPTIONS.csv
02) unique_icustays_in_chartevents_subset.parquet
03) prescriptions_based_medications.parquet
04) chartevents_subset.parquet",prescriptions_based_medications.parquet,Analyze PRESCRIPTIONS.csv for introduction of medication flag
02_inputevents_mv_analysis.ipynb,mimic_medication_analysis/inputevents_mv_analysis.ipynb,"01) D_ITEMS.csv
02) INPUTEVENTS_MV.csv
03) unique_icustays_in_chartevents_subset.parquet
04) CHARTEVENTS.csv
05) inputevents_based_medications.parquet
06) chartevents_subset.parquet",inputevents_based_medications.parquet,"Analyze INPUTEVENTS_MV.csv for introduction of medication flag: Based on this analysis and its produced output, we added flag indicating medication within time period of 1 hour before and after an alarm"
03_integrate_med_flag.ipynb,mimic_medication_analysis/integrate_med_flag.ipynb,"01) alarm_data.csv
02) inputevents_based_medications.parquet",alarm_data_with_med_{time window}min.parquet,Time window of currently 120 minutes should be adjusted if we want to use this flag later
alarm_violations_analysis.ipynb,mimic_alarm_violations_analysis/alarm_violations_analysis.ipynb,alarm_violations.csv,,
alarm_violations_analysis_HR.ipynb,mimic_alarm_violations_analysis/alarm_violations_analysis_HR.ipynb,alarm_violations.csv,,
alarm_violations_analysis_MV.ipynb,mimic_alarm_violations_analysis/alarm_violations_analysis_MV.ipynb,alarm_violations.csv,,Did not investigated thresholds as we decided to not include this parameter into further analyses
alarm_violations_analysis_NBPs.ipynb,mimic_alarm_violations_analysis/alarm_violations_analysis_NBPs.ipynb,alarm_violations.csv,,
alarm_violations_analysis_O2SAT.ipynb,mimic_alarm_violations_analysis/alarm_violations_analysis_O2SAT.ipynb,alarm_violations.csv,,
alarm_violations_analysis_RR.ipynb,mimic_alarm_violations_analysis/alarm_violations_analysis_RR.ipynb,alarm_violations.csv,,
